doi
10.1128/mSystems.00813-19
10.3791/59219
10.1128/MRA.00165-19
10.1021/acs.jnatprod.9b00168
10.1073/pnas.1801247115
10.1038/s42255-021-00429-0
10.1038/s43705-022-00105-8
